User Id, Group, DOF real T, DOF real R, DOF virtual T, DOF virtual R, task R DOF, task T DOF, target distance R, target width R, ID effective R, ID T, ID combined, repetition, trial, button clicks, successful clicks, Hit, hit type, MT, overshoots R, peak acceleration R, movement continuity R, error R, peak speed R, first reversal R, reversal points R, Cursor, TP, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 0, 1, 0, 0, Manual, 0.8369846343994141, 0, 7738.84715139463, -0.9633471321946101, 16.42699261292322, 436.5930752505939, 20.79908129706998, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 1, 2, 0, 0, Manual, 0.8831253051757812, 0, 6822.900580712682, -0.18510979373970565, 5.333646895576436, 393.8014530044194, 19.944678470779365, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 2, 3, 0, 0, Manual, 1.0029144287109375, 0, 3751.948923455548, -0.5406244908485819, 10.195866709395027, 449.655707975429, 21.888312122312374, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 3, 4, 1, 1, Manual, 0.9192390441894531, 1, 6438.3643993012665, -0.12343256367926597, 3.8668572625500293, 495.265868710717, 4.220964219088716, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 4, 5, 1, 0, Manual, 1.1867103576660156, 1, 5607.479234873779, -0.3116925884877186, 6.85285970794906, 421.2797997654488, 21.825981432419123, 3, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 5, 6, 2, 1, Manual, 0.9359970092773438, 0, 4710.948505619956, -0.13450786007056575, 4.46018672162274, 294.2458272260047, 5.287865150364758, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 6, 7, 2, 0, Manual, 1.0696640014648438, 1, 5000.406071752734, -0.08927706785265092, 6.797422640759196, 367.0628249566648, 12.385846670539605, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 7, 8, 2, 0, Manual, 0.9563560485839844, 0, 2962.11938824496, -0.20841822096404333, 5.031618440249778, 297.9538771128659, 9.992461259267165, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 8, 9, 2, 0, Manual, 1.0363349914550781, 1, 4908.209934179764, -0.22983419834178687, 5.117858263826586, 307.5941011106197, 6.964759435308928, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 9, 10, 3, 1, Manual, 0.9525985717773438, 0, 2928.539116753875, -0.15657815429683816, 4.149200746482605, 232.6759485064682, 6.767768333209436, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 10, 11, 3, 0, Manual, 0.9528350830078125, 2, 3625.23220111324, -0.08536848955160539, 5.554818701955288, 327.5376038307811, 4.891215530925927, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 11, 12, 4, 1, Manual, 0.9359703063964844, 0, 2723.527133689302, -0.2825558645030891, 0.5218328863407409, 224.7350168926791, 1.7178795013260348, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 12, 13, 4, 0, Manual, 1.0363693237304688, 2, 8007.024720984454, -0.13712644114963135, 5.968008487860771, 493.8517939381022, 7.155298845838135, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 13, 14, 4, 0, Manual, 0.9557228088378906, 0, 1774.3039919100572, -0.3836229368735346, 5.707286520673723, 212.6279368288919, 6.53711755998711, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 14, 15, 4, 0, Manual, 0.8704185485839844, 0, 4386.1455875592865, -0.20307024402043106, 9.012307052037404, 347.03271545503907, 59.165538076791655, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 15, 16, 5, 1, Manual, 0.9103851318359375, 0, 3965.146377691335, -0.09437328764057643, 2.808470745561273, 276.3588305747129, 2.5959252781129507, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 16, 17, 5, 0, Manual, 0.9565200805664062, 2, 4030.2894798020575, -0.10710392868982761, 5.095693157632213, 276.50366029235346, 5.070893787493949, 2, Phone, 0.0, 
2, 1, 3, 3, 0, 3, 3, 0, 60, 10, 0, 0, 0, 20, 17, 18, 6, 1, Manual, 0.8860359191894531, 0, 6357.908584628871, -0.04115836773207886, 2.953545332825184, 360.45981173791387, 5.422484406605793, 2, Phone, 0.0, 
