User Id, Group, DOF real T, DOF real R, DOF virtual T, DOF virtual R, task R DOF, task T DOF, target distance T [m], target width T [m], target distance R [m], target width R [m], ID effective R [bit], ID effective T [bit], ID combined [bit], repetition, trial, button clicks, successful clicks, Hit, hit type, MT [s], effective end pos, effective A trans [m], overshoots T, peak acceleration T [m/s^2], movement continuity T, error T [m], peak speed T [m/s], first reversal T, reversal points T, effective end rot, effective A rot [m], overshoots R, peak acceleration R [°/s^2], movement continuity R, error R, peak speed R, first reversal R, reversal points R, Cursor, TP [bit/s], 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 0, 1, 1, 1, Manual, 5.953291416168213, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.602  0.561  0.568  0.001), 104.10245435216635, 1, 2510.1010869650263, -0.2113770523268352, 2.1764406117764135, 184.0098399515577, 33.50581643926208, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 1, 2, 2, 1, Manual, 4.331482887268066, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  -0.002  0.004  0.011), 105.8085345620945, 3, 3938.147555909272, -0.0753657992415451, 1.337749617992911, 359.2624679578969, 6.678996687669008, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 2, 3, 2, 0, Manual, 5.167963027954102, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.608  0.585  0.537  0.011), 105.0102965545437, 2, 2576.1551256631233, -0.35252887585446113, 5.085700882943507, 293.00139667701757, 26.792432116088808, 3, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 3, 4, 3, 1, Manual, 2.7503738403320312, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  0.006  0.006  0.005), 104.12436469316975, 0, 8051.315439637328, -0.054553193985292445, 1.1401543589363303, 562.7381634739228, 8.46592825744749, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 4, 5, 4, 1, Manual, 3.1337833404541016, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.579  0.581  0.571  -0.015), 108.22899145129736, 2, 5019.232042896181, -0.4978320659511174, 2.2625177026174597, 391.767906979899, 10.015753519252339, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 5, 6, 5, 1, Manual, 2.167013168334961, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  0.001  0.009  0.009), 108.47450853110936, 1, 2968.238371446127, -0.25212757174076117, 1.4645301313273544, 309.2746450372393, 3.165066203957044, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 6, 7, 6, 1, Manual, 3.234039306640625, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.595  0.552  0.583  -0.027), 106.19798886075753, 1, 6116.252332672963, -0.0752512701472698, 4.215274793399991, 475.41332678660325, 11.920280584465246, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 7, 8, 7, 1, Manual, 2.7497825622558594, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  0.012  0.005  0.003), 105.59258295806806, 2, 4896.879927951533, -0.6033047978637414, 1.4984797658268416, 399.0086534500573, 5.276837389221001, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 8, 9, 8, 1, Manual, 2.42498779296875, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.595  0.579  0.557  0.006), 105.56706126200862, 1, 5319.962157325795, -0.8667370350331212, 2.199969514374698, 495.24392959795733, 16.292038917331972, 2, Phone, 0.0, 
16, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 9, 10, 9, 1, Manual, 1.8665313720703125, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  -0.005  0.004  -0.010), 107.00298441843509, 1, 3538.27107997818, -0.17895667034901555, 1.3705814021853429, 378.07240590584684, 2.2066507674999776, 2, Phone, 0.0, 
